Address,Rent,Size,Rooms
1213 Petit-Lancy,"CHF 1,900.–",empty,3.5rm
"Chemin des Pâquerettes, 1213 Petit-Lancy","CHF 1,950.–",76,5.5rm
1213 Petit-Lancy,"CHF 2,300.–",95,4rm
1213 Petit-Lancy,"CHF 2,585.–",empty,4.5rm
1213 Petit-Lancy,"CHF 2,585.–",empty,4.5rm
"Chemin de la Bâtie 3, 1213 Petit-Lancy","CHF 2,990.–",94,5rm
"Ch. du Fief-de-Chapitre 3, 1213 Petit-Lancy","CHF 3,049.–",97,5.5rm
1213 Petit-Lancy,"CHF 5,700.–",empty,6rm
"Chemin de la Milice 2, 1228 Plan-les-Ouates",CHF 925.–,18,1rm
"Chemin du Pré-de-la-Raisse 1 à 17, 1228 Plan-les-Ouates","CHF 3,345.–",empty,5rm
"Rte de Camp 68, 1228 Plan-les-Ouates","CHF 4,150.–",empty,6rm
"Chemin des Voirets 12, 1228 Plan-les-Ouates","CHF 4,500.–",180,7rm
1228 Plan-les-Ouates,"CHF 5,000.–",180,6rm
1228 Plan-les-Ouates,"CHF 7,500.–",170,8rm
"ROUTE DU CREUX-DE-BOISSET 22, 1286 Soral","CHF 2,450.–",empty,2rm
"ROUTE DU CREUX-DE-BOISSET 22, 1286 Soral","CHF 3,000.–",empty,3rm
"ROUTE DU CREUX-DE-BOISSET 22, 1286 Soral","CHF 3,780.–",empty,6rm
"ROUTE DU CREUX-DE-BOISSET 22, 1286 Soral","CHF 4,400.–",empty,6rm
1256 Troinex,"CHF 5,950.–",175,8rm
1256 Troinex,"CHF 5,950.–",170,8rm
"sur demande, 1256 Troinex","CHF 5,990.–",170,8rm
"Chemin des Bûcherons 10-10A, 1234 Vessy","CHF 4,000.–",128,5rm
"Chemin de Chantefleur, 1234 Vessy","CHF 5,000.–",170,8rm
"Place de l'Eglise 24, 1255 Veyrier","CHF 1,740.–",35,2.5rm
"Chemin des Etournelles 10, 1255 Veyrier","CHF 2,000.–",empty,3rm
1255 Veyrier,"CHF 2,121.–",70,4rm
1255 Veyrier,"CHF 5,800.–",185,6rm
"sezegnin, 1285 Athenaz (Avusy)","CHF 1,790.–",80,2.5rm
1227 Carouge GE,CHF 880.–,12,empty
