Address,Rent,Size,Rooms
1208 Genève,"CHF 2,685.–",84,4.5rm
1208 Genève,"CHF 2,800.–",empty,4rm
"Chemin Clos Belmont 20, 1208 Genève","CHF 2,800.–",empty,empty
"Avenue Théodore-Weber 34, 1208 Genève","CHF 2,990.–",80,4rm
1208 Genève,"CHF 3,100.–",78,5rm
1208 Genève,"CHF 3,250.–",empty,5rm
1208 Genève,"CHF 3,325.–",empty,5rm
1208 Genève,"CHF 3,500.–",90,4rm
"Rue Le-Corbusier, 1208 Genève","CHF 3,580.–",116,5rm
"Clos-Belmont, 1208 Genève","CHF 3,800.–",125,6.5rm
"Chemin Rieu 8, 1208 Genève","CHF 4,000.–",empty,6.5rm
"Rue Le-Corbusier 13, 1208 Genève","CHF 4,950.–",empty,7rm
1208 Genève,"CHF 4,950.–",153,5.5rm
"15, chemin Rieu, 1208 Genève","CHF 5,000.–",138,4rm
1208 Genève,"CHF 5,200.–",165,5rm
"sur demande, 1208 Genève","CHF 5,500.–",136,5rm
"Ch. de la Chevillarde 42, 1208 Genève","CHF 5,600.–",empty,6rm
1208 Genève,"CHF 5,600.–",empty,6rm
"Rte de Malagnou 6, 1208 Genève","CHF 7,000.–",191,7rm
"Avenue Rosemont 15, 1208 Genève, 1208 Genève","CHF 8,950.–",252,7.5rm
"Rue LE-CORBUSIER 31, 1208 Genève","CHF 12,900.–",350,9rm
"Rue LE-CORBUSIER 31, 1208 Genève","CHF 12,900.–",350,9rm
1208 Genève,"CHF 12,900.–",350,9rm
"31, rue Le-Corbusier, 1208 Genève","CHF 12,900.–",350,9rm
1208 Genève,"CHF 13,000.–",250,10rm
1209 Genève,CHF 875.–,31,1.5rm
"Chemin Moïse-Duboule 41, 1209 Genève","CHF 1,050.–",28,empty
1209 Genève,"CHF 1,211.–",empty,2.5rm
1209 Genève,"CHF 1,226.–",40,2rm
1209 Genève,"CHF 1,320.–",empty,2.5rm
"Chemin de Kermely 8, 1209 Genève","CHF 1,420.–",32,1rm
"Chemin Moïse-Duboule 43, 1209 Genève","CHF 1,540.–",45,2rm
"Chemin Moïse-Duboule 41, 1209 Genève","CHF 1,565.–",45,2rm
