Address,Rent,Size,Rooms
"Rue du Lac 4 - 6, 1207 Genève","CHF 1,430.–",empty,empty
"Rue de Savoie 7, 1207 Genève","CHF 1,490.–",38,2.5rm
"Rue des Photographes 12, 1207 Genève","CHF 1,590.–",37,1rm
1207 Genève,"CHF 1,630.–",empty,2.5rm
1207 Genève,"CHF 1,670.–",empty,2.5rm
"Route de Chêne 14, 1207 Genève","CHF 1,700.–",empty,3rm
"Rue Adrien-Lachenal, 1207 Genève","CHF 1,710.–",62,3rm
"Rue Ferdinand-Hodler, 1207 Genève","CHF 1,740.–",45,2rm
1207 Genève,"CHF 1,780.–",empty,2.5rm
"Rue des Vollandes 27, 1207 Genève","CHF 1,790.–",41,2.5rm
"Rue Cherbuliez 7, 1207 Genève","CHF 1,800.–",empty,2rm
"Rue de l'Est, 1207 Genève","CHF 1,820.–",52,3rm
"Rue du Lac 4 - 6, 1207 Genève","CHF 1,865.–",50,2rm
"Rue des Vollandes 75, 1207 Genève","CHF 1,880.–",39,1rm
"Place des Eaux-Vives, 1207 Genève","CHF 1,890.–",57,2.5rm
1207 Genève,"CHF 2,115.–",empty,4rm
"Rue du 31 Décembre, 1207 Genève","CHF 2,230.–",65,2.5rm
1207 Genève,"CHF 2,400.–",50,2.5rm
"Rue du 31 Décembre, 1207 Genève","CHF 2,430.–",70,3rm
"Boulevard Helvetique, 1207 Genève","CHF 2,530.–",60,3rm
"Rue des Vollandes 75, 1207 Genève","CHF 2,775.–",71,3.5rm
"Rue du XXXI Décembre 24, 1207 Genève","CHF 2,841.–",empty,3.5rm
"Avenue de la Grenade 20, Rue de l'Avenir 7/9, 1207 Genève","CHF 2,850.–",70,4rm
"Rue des Eaux-Vives 20, 1207 Genève","CHF 3,000.–",62,4rm
"Rue Muzy 7, 1207 Genève","CHF 3,285.–",empty,4rm
"Rue des Eaux-Vives 110, 1207 Genève","CHF 3,355.–",90,5rm
1207 Genève,"CHF 3,420.–",empty,5rm
"Rue Ferdinand-Hodler, 1207 Genève","CHF 3,480.–",90,4rm
"Boulevard Helvétique, 1207 Genève","CHF 3,600.–",95,3.5rm
1207 Genève,"CHF 3,750.–",90,4rm
"Rue du 31-Décembre 24, 1207 Genève","CHF 4,320.–",94,4.5rm
"Rue Viollier 1, 1207 Genève","CHF 4,360.–",151,6.5rm
"Rue Viollier 1, 1207 Genève","CHF 4,730.–",140,6.5rm
"Rue Muzy 1, 1207 Genève","CHF 5,280.–",124,5.5rm
1207 Genève,"CHF 6,020.–",168,6rm
1207 Genève,"CHF 6,500.–",203,8rm
"Bd Helvetique, 1207 Genève","CHF 6,750.–",203,8rm
1207 Genève,"CHF 11,000.–",160,6.5rm
"Rue des Photographes 12, 1207 Genève",empty,48,3rm
"Rue du 31 Décembre 35, 1207 Genève",empty,46,2.5rm
1208 Genève,"CHF 1,250.–",empty,1rm
"Route de Chêne, 1208 Genève","CHF 1,330.–",20,1.5rm
"rue de Neuchatel 16, 1208 Genève","CHF 1,350.–",empty,1rm
1208 Genève,"CHF 1,428.–",85,4rm
"Avenue Théodore-Weber 36, 1208 Genève","CHF 1,450.–",40,2rm
"Chemin des Tulipiers 1, 1208 Genève","CHF 1,730.–",empty,2rm
"Route de Chêne 68, 1208 Genève","CHF 2,140.–",empty,3rm
1208 Genève,"CHF 2,200.–",53,3rm
1208 Genève,"CHF 2,220.–",53,3rm
1208 Genève,"CHF 2,385.–",empty,3rm
"Rue Henri-Mussard, 1208 Genève","CHF 2,420.–",53,3rm
"Avenue Théodore-Weber 36, 1208 Genève","CHF 2,650.–",80,3.5rm
1208 Genève,"CHF 2,685.–",84,4.5rm
