Address,Rent,Size,Rooms
1205 Genève,"CHF 2,275.–",empty,4rm
"Plainpalais/Bastions, 1205 Genève","CHF 2,480.–",90,4rm
1205 Genève,"CHF 2,500.–",90,3.5rm
1205 Genève,"CHF 2,500.–",90,3.5rm
1205 Genève,"CHF 2,650.–",70,4.5rm
1205 Genève,"CHF 2,650.–",empty,4rm
1205 Genève,"CHF 2,790.–",empty,4rm
"Rue de Carouge 8, 1205 Genève","CHF 2,790.–",75,3.5rm
"Bd du Pont-d'Arve 18, 1205 Genève","CHF 2,860.–",70,4rm
"Rue de Carouge, 1205 Genève","CHF 2,860.–",92,4rm
"Rue Ecole-de-Médecine 2, 1205 Genève","CHF 2,900.–",empty,4.5rm
"Quai Charles-Page 45, 1205 Genève","CHF 3,110.–",89,4rm
"Quai des Arénières 10, 1205 Genève","CHF 3,869.–",empty,3.5rm
"Quai des Arénières 10, 1205 Genève","CHF 3,869.–",empty,3.5rm
1205 Genève,"CHF 4,100.–",120,4.5rm
1205 Genève,"CHF 4,200.–",134,5rm
1205 Genève,"CHF 4,400.–",89,2rm
"Rue Saint-Léger 8, 1205 Genève","CHF 4,580.–",89,3rm
"Rond Point de Plainpalais 2, 1205 Genève","CHF 4,750.–",empty,7rm
"Boulevard des Tranchées 6, 1205 Genève","CHF 5,200.–",132,6rm
1205 Genève,"CHF 5,200.–",140,5rm
"Boulevard Helvétique 6, 1205 Genève","CHF 5,950.–",172,6rm
"Saules, sentier des 9, 1205 Genève","CHF 6,900.–",200,6rm
1205 Genève,"CHF 16,600.–",294,8rm
1206 Genève,"CHF 1,300.–",empty,1.5rm
"Chemin de Normandie 8, 1206 Genève","CHF 1,435.–",33,2rm
1206 Genève,"CHF 1,500.–",41,1rm
1206 Genève,"CHF 1,680.–",35,1.5rm
"Rue de l'Athénée 19, 1206 Genève","CHF 1,690.–",empty,2rm
"Avenue de Champel 22, 1206 Genève","CHF 1,800.–",empty,3rm
1206 Genève,"CHF 1,800.–",empty,3rm
1206 Genève,"CHF 1,833.–",65,3rm
1206 Genève,"CHF 1,870.–",50,2.5rm
"contamines 19, 1206 Genève","CHF 1,950.–",45,25rm
1206 Genève,"CHF 1,950.–",25,1.5rm
1206 Genève,"CHF 1,950.–",40,1.5rm
"rue Michel-Servet, 1206 Genève","CHF 2,000.–",empty,1rm
"Rue de l'Athénée 19, 1206 Genève","CHF 2,025.–",empty,2.5rm
1206 Genève,"CHF 2,100.–",58,2.5rm
"Avenue Calas 5, 1206 Genève","CHF 2,150.–",62,3rm
"Chemin des Clochettes 22 B, 1206 Genève","CHF 2,170.–",72,4rm
"rue de l'Athénée 30, 1206 Genève","CHF 2,250.–",56,2rm
"Avenue Calas 7, 1206 Genève","CHF 2,490.–",79,4rm
"20, chemin des Crêts-de-Champel, 1206 Genève","CHF 2,500.–",95,3rm
"Rue de l'Athénée 36, 1206 Genève","CHF 2,500.–",32,2.5rm
"Av. Peschier 42, 1206 Genève","CHF 2,525.–",76,3rm
1206 Genève,"CHF 2,545.–",empty,4rm
1206 Genève,"CHF 2,625.–",77,4rm
1206 Genève,"CHF 2,700.–",32,2.5rm
"chemin des Crêts-de-Champel 18, 1206 Genève","CHF 2,720.–",80,3rm
"22, avenue Peschier, 1206 Genève","CHF 2,800.–",72,4rm
1206 Genève,"CHF 3,000.–",empty,4rm
"Rue de l'Athénée 19, 1206 Genève","CHF 3,175.–",empty,4.5rm
1206 Genève,"CHF 3,175.–",empty,4rm
"Rue de Beaumont 16, 1206 Genève","CHF 3,300.–",110,5.5rm
"Avenue de Miremont 15, 1206 Genève","CHF 3,500.–",102,5rm
"Dumas, avenue 14B, 1206 Genève","CHF 3,500.–",90,4rm
"Ch. des Glycines 4, 1206 Genève","CHF 3,500.–",91,4rm
"Rue Monnier 7, 1206 Genève","CHF 3,500.–",empty,3.5rm
"Av. Dumas 2bis, 1206 Genève","CHF 3,535.–",95,4rm
1206 Genève,"CHF 3,550.–",80,empty
"Route de Florissant, 1206 Genève","CHF 3,660.–",102,4rm
"Chemin des Clochettes, 1206 Genève","CHF 3,680.–",80,4rm
"sur demande, 1206 Genève","CHF 3,750.–",102,3.5rm
"Ch. des Crêts-de-Champel, 1206 Genève","CHF 3,950.–",106,4rm
"Chemin Malombré 5, 1206 Genève","CHF 4,500.–",empty,4.5rm
"4, chemin des Clochettes, 1206 Genève","CHF 4,700.–",165,5rm
"Rue Marignac, 1206 Genève","CHF 4,900.–",131,5.5rm
1206 Genève,"CHF 5,000.–",107,4.5rm
"Route de Florissant 11, 1206 Genève","CHF 5,080.–",145,5rm
"Rue Marignac, 1206 Genève","CHF 5,100.–",127,5.5rm
"9, avenue Eugène- Pittard, 1206 Genève","CHF 5,290.–",163,6.5rm
"Chemin des Crêts-de-Champel 3, 1206 Genève","CHF 5,500.–",empty,7rm
"Avenue Eugène Pittard 46B, 1206 Genève","CHF 5,500.–",90,3rm
"Route de Florissant, 1206 Genève","CHF 5,580.–",160,6rm
"5, avenue Eugène- Pittard, 1206 Genève","CHF 5,600.–",160,5rm
"Route de Florissant 11, 1206 Genève","CHF 5,770.–",145,5rm
1206 Genève,"CHF 5,800.–",170,5.5rm
"Crêt de Champel 32, 1206 Genève","CHF 5,800.–",107,4.5rm
1206 Genève,"CHF 6,000.–",160,5rm
"Florissant, 1206 Genève","CHF 6,000.–",116,4rm
1206 Genève,"CHF 6,220.–",160,5rm
"sur demande, 1206 Genève","CHF 6,280.–",170,6.5rm
1206 Genève,"CHF 6,280.–",empty,6rm
1206 Genève,"CHF 6,500.–",193,6rm
1206 Genève,"CHF 6,900.–",186,7.5rm
1206 Genève,"CHF 6,900.–",186,6rm
"9, avenue Eugène- Pittard, 1206 Genève","CHF 7,099.–",179,7rm
"Boulevard des Tranchées 16, 1206 Genève","CHF 7,150.–",empty,9rm
1206 Genève,"CHF 7,200.–",146,5rm
1206 Genève,"CHF 7,200.–",empty,5rm
"Chemin De-Normandie 4, 1206 Genève","CHF 7,850.–",200,8rm
"3, avenue de Miremont, 1206 Genève","CHF 8,000.–",291,9rm
"..., 1206 Genève","CHF 10,070.–",230,9.5rm
1206 Genève,"CHF 14,600.–",350,10rm
1206 Genève,empty,empty,9rm
"FLORISSANT, 1206 Genève",empty,240,8.5rm
1206 Genève,empty,1,1rm
1207 Genève,"CHF 1,000.–",empty,1.5rm
1207 Genève,"CHF 1,200.–",empty,3rm
1207 Genève,"CHF 1,295.–",empty,2rm
"Rue Cherbuliez 7, 1207 Genève","CHF 1,300.–",36,1rm
1207 Genève,"CHF 1,350.–",empty,2rm
1207 Genève,"CHF 1,350.–",empty,2rm
"Rue du 31 Décembre 48, 1207 Genève","CHF 1,350.–",35,2rm
"Rue des Glacis-de-Rive, 1207 Genève","CHF 1,350.–",23,1.5rm
"Rue Adrien-Lachenal 24, 1207 Genève","CHF 1,400.–",empty,empty
