Address,Rent,Size,Rooms
"Rue de Bâle 30, 1201 Genève","CHF 1,790.–",56,3rm
"Rue des Pâquis, 1201 Genève","CHF 1,790.–",50,3rm
"Rue de Berne 23, 1201 Genève","CHF 1,860.–",empty,3rm
1201 Genève,"CHF 1,880.–",empty,4rm
"Rue de Lausanne 21, 1201 Genève","CHF 1,890.–",51,3rm
1201 Genève,"CHF 1,900.–",empty,3.5rm
"Grand-Rue 19, 1201 Genève","CHF 1,900.–",empty,1rm
"Rue Jean-Antoine Gautier 8, 1201 Genève","CHF 1,980.–",empty,2rm
1201 Genève,"CHF 2,040.–",70,3.5rm
"Rue Sismondi 15, 1201 Genève","CHF 2,150.–",empty,4rm
1201 Genève,"CHF 2,160.–",empty,4rm
1201 Genève,"CHF 2,200.–",empty,4rm
"Rue des Grottes 13, 1201 Genève","CHF 2,320.–",46,2rm
"Rue de Chantepoulet 10, 1201 Genève","CHF 2,360.–",76,4rm
"Rue de Lyon 8, 1201 Genève","CHF 2,390.–",78,4.5rm
"Rue des Grottes 13, 1201 Genève","CHF 2,410.–",63,3.5rm
"Rue Argand 2, 1201 Genève","CHF 2,490.–",60,3rm
"Rue Benjamin - Franklin, 1201 Genève","CHF 2,530.–",80,4rm
"Rue des Pâquis 23, 1201 Genève","CHF 2,590.–",72,4rm
"Sans caution ni démarches administratives, 1201 Genève","CHF 2,615.–",40,2rm
1201 Genève,"CHF 2,635.–",64,3rm
"Rue de Lyon, 1201 Genève","CHF 2,720.–",68,4rm
"Rue Jean-Antoine Gautier 8, 1201 Genève","CHF 2,755.–",empty,3rm
"Rue Argand 2, 1201 Genève","CHF 2,790.–",66,4rm
"25, rue Kléberg, 1201 Genève","CHF 2,950.–",60,4rm
1201 Genève,"CHF 2,950.–",empty,4rm
1201 Genève,"CHF 2,950.–",70,4rm
"Rue Benjamin - Franklin, 1201 Genève","CHF 3,150.–",119,4.5rm
"Rue Maurice-Braillard 36, 1201 Genève","CHF 3,160.–",95,4rm
1201 Genève,"CHF 3,200.–",55,2rm
1201 Genève,"CHF 3,300.–",96,4rm
