Address,Rent,Size,Rooms
"Rue de Lyon 38, 1203 Genève","CHF 1,320.–",empty,2rm
"Avenue d'Aïre 47, 1203 Genève","CHF 1,420.–",35,3rm
"Avenue Ernest Pictet 14, 1203 Genève","CHF 1,450.–",45,2rm
"Rue de Saint-Jean 44, 1203 Genève","CHF 1,550.–",empty,2rm
1203 Genève,"CHF 1,560.–",empty,3rm
1203 Genève,"CHF 1,630.–",empty,3rm
1203 Genève,"CHF 1,630.–",50,3rm
1203 Genève,"CHF 1,632.–",empty,3rm
1203 Genève,"CHF 1,655.–",empty,3rm
1203 Genève,"CHF 1,660.–",45,2.5rm
1203 Genève,"CHF 1,725.–",empty,2.5rm
1203 Genève,"CHF 1,780.–",empty,3rm
"Rue de Lyon 83, 1203 Genève","CHF 1,800.–",empty,1rm
"Rue Joseph-Pasquier, 1203 Genève","CHF 1,875.–",55,3rm
1203 Genève,"CHF 1,900.–",34,1.5rm
"Rue de Lyon 83, 1203 Genève","CHF 1,900.–",30,1rm
"Rue Charles-Giron 8, 1203 Genève","CHF 1,913.–",85,3rm
"Avenue d'Aïre, 1203 Genève","CHF 1,960.–",60,4rm
"Rue du Belvédère 8, 1203 Genève","CHF 1,985.–",36,2rm
1203 Genève,"CHF 1,990.–",empty,4rm
1203 Genève,"CHF 2,040.–",empty,3.5rm
"Rue des Pénates, 1203 Genève","CHF 2,040.–",empty,3.5rm
"Rue de la Dôle 2a, 1203 Genève","CHF 2,190.–",54,3rm
1203 Genève,"CHF 2,255.–",empty,4rm
1203 Genève,"CHF 2,290.–",empty,4rm
1203 Genève,"CHF 2,290.–",80,4rm
"12, rue du Dauphiné, 1203 Genève","CHF 2,486.–",85,4.5rm
"Rue Charles-Giron 8, 1203 Genève","CHF 2,514.–",113,4rm
1203 Genève,"CHF 2,590.–",70,4rm
1203 Genève,"CHF 2,590.–",empty,4rm
"Avenue Ernest Pictet 14, 1203 Genève","CHF 2,700.–",empty,5rm
"avenue Henry-Golay 12, 1203 Genève","CHF 2,750.–",empty,5rm
"Rue Daubin 4, 1203 Genève","CHF 3,000.–",77,3rm
"Avenue de Luserna 9, 1203 Genève","CHF 3,190.–",empty,6rm
"Av.d'Aire 93e, 1203 Genève","CHF 3,340.–",108,5rm
"Av.d'Aire 93e, 1203 Genève","CHF 3,420.–",108,5rm
"sur demande, 1203 Genève","CHF 4,000.–",110,5rm
"Rue de Saint-Jean 32a, 1203 Genève","CHF 4,950.–",135,4rm
1203 Genève,"CHF 5,000.–",125,4rm
1203 Genève,"CHF 5,200.–",135,5rm
"Rue des Confessions 9, 1203 Genève",empty,51,2rm
1204 Genève,"CHF 1,380.–",32,1.5rm
1204 Genève,"CHF 1,450.–",empty,1.5rm
1204 Genève,"CHF 1,490.–",empty,1.5rm
1204 Genève,"CHF 1,500.–",25,1rm
"Rue Etienne-Dumont 5, 1204 Genève","CHF 1,675.–",29,1.5rm
"Rue de la Boulangerie 6, 1204 Genève","CHF 1,700.–",35,1.5rm
"Rue Neuve du Molard 5, 1204 Genève","CHF 1,750.–",empty,1rm
"Grand-Rue 34, 1204 Genève","CHF 1,780.–",empty,1rm
"A Genève, 1204 Genève","CHF 1,900.–",45,1.5rm
"15 Grand-Rue, 1204 Genève","CHF 2,200.–",52,2.5rm
"Rue de la cité 27, 1204 Genève","CHF 2,350.–",empty,2rm
"15 Grand-Rue, 1204 Genève","CHF 2,400.–",52,2rm
"8, rue Chausse-Coq, 1204 Genève","CHF 2,600.–",50,2.5rm
"Grand-Rue 12, 1204 Genève","CHF 2,600.–",empty,1.5rm
"Grand-Rue 22, 1204 Genève","CHF 2,620.–",48,3rm
"Rue Etienne-Dumont, 1204 Genève","CHF 2,800.–",60,3rm
1204 Genève,"CHF 2,800.–",60,2.5rm
1204 Genève,"CHF 2,800.–",77,2rm
1204 Genève,"CHF 2,800.–",72,2rm
1204 Genève,"CHF 2,800.–",72,empty
"Rue de la Tour-de-Boël 10, 1204 Genève","CHF 2,860.–",90,4rm
1204 Genève,"CHF 2,890.–",empty,2rm
"Rue de la Cité 27, 1204 Genève","CHF 3,200.–",empty,3.5rm
1204 Genève,"CHF 3,250.–",102,4rm
"Vieille-Ville, 1204 Genève","CHF 3,300.–",empty,empty
"Rue du Stand 53, 1204 Genève","CHF 3,370.–",75,3.5rm
"Grand-Rue 17, 1204 Genève","CHF 3,445.–",empty,3.5rm
"Rue du Port 6, 1204 Genève","CHF 3,480.–",empty,4rm
"Rue Bémont 4, 1204 Genève","CHF 3,800.–",90,4rm
"Rue de la Rôtisserie 17, 1204 Genève","CHF 3,900.–",105,4.5rm
"Rue de la Confédération 6, 1204 Genève","CHF 3,900.–",120,4rm
"Rue de Rive 15, 1204 Genève","CHF 4,355.–",90,4rm
"Place du Cirque 3, 1204 Genève","CHF 4,500.–",123,6rm
"Rue des Granges 5, 1204 Genève","CHF 4,500.–",128,4rm
1204 Genève,"CHF 5,100.–",114,4rm
1204 Genève,"CHF 5,100.–",110,4rm
"Grand-Rue 8, 1204 Genève","CHF 5,250.–",114,4.5rm
"32, place du Bourg-de-Four, 1204 Genève","CHF 7,500.–",260,9rm
1204 Genève,"CHF 7,500.–",178,6.5rm
1204 Genève,"CHF 10,500.–",250,7.5rm
"1204, 1204 Genève","CHF 10,500.–",empty,empty
1204 Genève,"CHF 15,260.–",246,5rm
"Eglise Russe, 1204 Genève","CHF 19,000.–",empty,empty
1205 Genève,"CHF 1,120.–",empty,1.5rm
"Rue de Carouge 72-74, 1205 Genève","CHF 1,160.–",29,2rm
"Rue Dancet, 1205 Genève","CHF 1,350.–",40,2rm
1205 Genève,"CHF 1,370.–",empty,2rm
"Boulevard du Pont-d'Arve 46, 1205 Genève","CHF 1,400.–",empty,2rm
"rue cingria, 1205 Genève","CHF 1,410.–",33,2rm
1205 Genève,"CHF 1,420.–",empty,2.5rm
"rue des voisins 8, 1205 Genève","CHF 1,450.–",27,1rm
1205 Genève,"CHF 1,465.–",empty,2.5rm
1205 Genève,"CHF 1,465.–",empty,2rm
"rue des voisins 8, 1205 Genève","CHF 1,500.–",32,1rm
"Bd du Pont-d'Arve, 1205 Genève","CHF 1,560.–",37,2rm
"Rue Jean-Violette 30, 1205 Genève","CHF 1,590.–",38,2rm
"Boulevard Saint-Georges 71, 1205 Genève","CHF 1,595.–",40,3rm
1205 Genève,"CHF 1,600.–",empty,3.5rm
"rue des voisins 8, 1205 Genève","CHF 1,600.–",32,1rm
"rue des voisins 8, 1205 Genève","CHF 1,600.–",32,1rm
"rue des voisins 8, 1205 Genève","CHF 1,650.–",27,1rm
"rue des voisins 8, 1205 Genève","CHF 1,650.–",27,1rm
1205 Genève,"CHF 1,685.–",empty,2.5rm
"Rue des Deux Ponts 28, 1205 Genève","CHF 1,690.–",32,2rm
1205 Genève,"CHF 1,700.–",empty,3rm
"Rue de Carouge 95, 1205 Genève","CHF 1,700.–",empty,3rm
1205 Genève,"CHF 1,700.–",empty,3rm
"Rue Micheli-du-Crest 22, 1205 Genève","CHF 1,800.–",empty,1rm
1205 Genève,"CHF 1,850.–",empty,3rm
"Boulevard des Philosophes 2, 1205 Genève","CHF 1,860.–",49,3rm
"Rue Dizerens 11, 1205 Genève","CHF 1,910.–",50,empty
1205 Genève,"CHF 1,920.–",empty,3rm
"Rue de Carouge 8, 1205 Genève","CHF 1,990.–",58,3rm
1205 Genève,"CHF 2,000.–",50,3.5rm
"Rue de Carouge 8, 1205 Genève","CHF 2,060.–",53,3rm
"Rue de carouge, 1205 Genève","CHF 2,150.–",61,3rm
"Rue Goetz-Monin 24, 1205 Genève","CHF 2,170.–",24,2rm
1205 Genève,"CHF 2,200.–",empty,4.5rm
"Rue Gourgas, 1205 Genève","CHF 2,200.–",52,3rm
